customer_id;name;email;phone;gender;birth_date;register_date
1;Ayşe Yılmaz;ayse.yilmaz@mail.com;532 111 11 01;F;15.05.1990;10.01.2023
2;Mehmet Kaya;mehmet.kaya@mail.com;544 222 22 02;M;20.11.1985;15.01.2023
3;Elif Demir;elif.demir@mail.com;505 333 33 03;F;1.08.2000;1.02.2023
4;Caner Öztürk;caner.ozturk@mail.com;555 444 44 04;M;25.03.1998;14.02.2023
5;Zeynep Arslan;zeynep.arslan@mail.com;532 555 55 05;F;10.12.1975;1.03.2023
6;Ali Vural;ali.vural@mail.com;542 666 66 06;M;8.09.1993;10.03.2023
7;Büşra Şahin;busra.sahin@mail.com;507 777 77 07;F;12.06.1988;22.03.2023
8;Deniz Çelik;deniz.celik@mail.com;533 888 88 08;M;30.01.2002;5.04.2023
9;İrem Akın;irem.akin@mail.com;545 999 99 09;F;18.04.1995;18.04.2023
10;Emre Yıldız;emre.yildiz@mail.com;506 100 10 10;M;3.07.1982;1.05.2023
11;Pınar Güneş;pinar.gunes@mail.com;554 111 11 11;F;28.10.1991;15.05.2023
12;Hakan Bulut;hakan.bulut@mail.com;530 222 22 12;M;5.02.1979;1.06.2023
13;Selin Ece;selin.ece@mail.com;541 333 33 13;F;11.11.1996;10.06.2023
14;Fırat Gül;firat.gul@mail.com;501 444 44 14;M;22.01.1987;25.06.2023
15;Cemre Koç;cemre.koc@mail.com;535 555 55 15;F;5.04.1999;1.07.2023
16;Uğur Şimşek;ugur.simsek@mail.com;546 666 66 16;M;19.12.1984;15.07.2023
17;Melis Sönmez;melis.sonmez@mail.com;552 777 77 17;F;29.07.1992;1.08.2023
18;Barış Aydın;baris.aydin@mail.com;508 888 88 18;M;14.02.2001;10.08.2023
19;Derya Mert;derya.mert@mail.com;538 999 99 19;F;1.03.1980;25.08.2023
20;Volkan Tekin;volkan.tekin@mail.com;549 101 10 20;M;6.11.1994;1.09.2023
21;Gizem Aksoy;gizem.aksoy@mail.com;550 112 11 21;F;17.05.1989;15.09.2023
22;Mert Polat;mert.polat@mail.com;531 123 12 22;M;28.08.1977;1.10.2023
23;Ece Yüksel;ece.yuksel@mail.com;540 134 13 23;F;9.01.2003;5.10.2023
24;Serkan Ak;serkan.ak@mail.com;509 145 14 24;M;20.10.1986;10.10.2023
25;Banu Kara;banu.kara@mail.com;534 156 15 25;F;3.03.1997;15.10.2023
26;Kerem Can;kerem.can@mail.com;553 167 16 26;M;27.06.1981;20.10.2023
27;Hilal Avcı;hilal.avci@mail.com;543 178 17 27;F;14.12.1990;25.10.2023
28;Murat Tunç;murat.tunc@mail.com;502 189 18 28;M;29.04.1974;1.11.2023
29;Neslihan Kurt;neslihan.kurt@mail.com;536 190 19 29;F;1.09.1993;5.11.2023
30;Ozan Erdem;ozan.erdem@mail.com;547 201 20 30;M;23.02.1988;10.11.2023
31;Fulya Tek;fulya.tek@mail.com;556 212 21 31;F;9.05.1996;15.11.2023
32;Sinan Kılıç;sinan.kilic@mail.com;537 223 22 32;M;4.10.1983;20.11.2023
33;Yağmur Yücel;yagmur.yucel@mail.com;548 234 23 33;F;28.11.2000;25.11.2023
34;Kubilay Şen;kubilay.sen@mail.com;503 245 24 34;M;16.01.1978;1.12.2023
35;Esra Özcan;esra.ozcan@mail.com;539 256 25 35;F;13.08.1994;5.12.2023
36;Tolga Işık;tolga.isik@mail.com;551 267 26 36;M;30.03.1985;10.12.2023
37;Nazlı Doğan;nazli.dogan@mail.com;540 278 27 37;F;21.06.1991;15.12.2023
38;Harun Atalay;harun.atalay@mail.com;504 289 28 38;M;12.09.1980;20.12.2023
39;Mine Erol;mine.erol@mail.com;535 290 29 39;F;7.12.1998;25.12.2023
